code,org,section,enrollmentCapacity,actualEnrolment,deliveryMode
ANT100Y1,ANT,Y,1030,30,ONLSYNC
ANT193H1,ANT,S,12,0,CLASS
ANT193H1,ANT,S,13,0,ONLSYNC
ANT194H1,ANT,F,25,0,ONLSYNC
ANT199H1,ANT,F,10,0,CLASS
ANT199H1,ANT,F,15,0,ONLSYNC
ANT253H1,ANT,F,500,330,ONLASYNC
FAH102H1,FAR,F,201,8,ONLASYNC
FAH102H1,FAR,S,220,2,ONLASYNC
FAH194H1,FAR,F,24,0,ONLSYNC
FAH196H1,FAR,S,10,0,CLASS
FAH196H1,FAR,S,15,0,ONLSYNC
FAH198H1,FAR,S,5,0,CLASS
FAH198H1,FAR,S,20,0,ONLSYNC
AST101H1,AST,F,1650,903,ONLASYNC
AST199H1,AST,F,12,0,CLASS
AST199H1,AST,F,12,0,ONLSYNC
AST199H1,AST,S,5,0,CLASS
AST199H1,AST,S,19,0,ONLSYNC
AST201H1,AST,S,1650,944,ONLASYNC
BIO130H1,CSB,S,218,10,CLASS
BIO130H1,CSB,S,79,2,CLASS
BIO130H1,CSB,S,321,7,ONLSYNC
BIO130H1,CSB,S,1106,219,ONLSYNC
CSB196H1,CSB,S,10,0,CLASS
CSB196H1,CSB,S,15,0,ONLSYNC
CSB197H1,CSB,S,11,0,CLASS
CSB197H1,CSB,S,14,0,ONLSYNC
CSB199H1,CSB,F,25,0,ONLSYNC
CHM135H1,CHM,F,300,12,ONLSYNC
CHM135H1,CHM,F,300,130,ONLSYNC
CHM135H1,CHM,F,300,93,ONLSYNC
CHM135H1,CHM,F,300,0,ONLSYNC
CHM135H1,CHM,F,300,0,ONLSYNC
CHM135H1,CHM,S,48,1,CLASS
CHM135H1,CHM,S,192,0,ONLSYNC
CHM136H1,CHM,S,300,90,ONLSYNC
CHM136H1,CHM,S,300,99,ONLSYNC
CHM136H1,CHM,S,300,6,ONLSYNC
CHM136H1,CHM,S,300,57,ONLSYNC
CHM136H1,CHM,S,300,5,ONLSYNC
CHM151Y1,CHM,Y,144,6,ONLSYNC
CHM194H1,CHM,S,7,0,CLASS
CHM194H1,CHM,S,23,0,ONLSYNC
CHM198H1,CHM,S,9,0,CLASS
CHM198H1,CHM,S,21,0,ONLSYNC
CHM199H1,CHM,S,10,0,CLASS
CHM199H1,CHM,S,20,0,ONLSYNC
CIN196H1,CINE,F,20,0,ONLSYNC
CLA196H1,CLAS,S,10,0,CLASS
CLA196H1,CLAS,S,10,0,ONLSYNC
CLA197H1,CLAS,F,20,0,ONLSYNC
CLA198H1,CLAS,S,8,0,CLASS
CLA198H1,CLAS,S,12,0,ONLSYNC
CLA199H1,CLAS,F,16,0,CLASS
CLA199H1,CLAS,F,4,0,ONLSYNC
CSC104H1,CSC,F,240,0,ONLSYNC
CSC104H1,CSC,F,240,1,ONLSYNC
CSC104H1,CSC,S,28,0,CLASS
CSC104H1,CSC,S,24,0,CLASS
CSC104H1,CSC,S,32,0,CLASS
CSC104H1,CSC,S,168,1,ONLSYNC
CSC104H1,CSC,S,172,0,ONLSYNC
CSC104H1,CSC,S,164,1,ONLSYNC
CSC165H1,CSC,S,196,10,ONLSYNC
CSC165H1,CSC,S,196,11,ONLSYNC
CSC165H1,CSC,S,196,1,ONLSYNC
CSC165H1,CSC,S,196,3,ONLSYNC
CSC165H1,CSC,S,196,9,ONLSYNC
CSC165H1,CSC,S,196,1,ONLSYNC
CSC196H1,CSC,F,12,0,CLASS
CSC196H1,CSC,F,18,0,ONLSYNC
CSC197H1,CSC,F,9,0,CLASS
CSC197H1,CSC,F,21,0,ONLSYNC
CSC197H1,CSC,S,12,0,CLASS
CSC197H1,CSC,S,18,0,ONLSYNC
CSC199H1,CSC,F,30,0,ONLSYNC
DRM101Y1,DRAMA,Y,148,19,ONLSYNC
JEG100H1,GGR,S,26,0,CLASS
JEG100H1,GGR,S,124,0,ONLSYNC
ESS103H1,ES,F,300,1,ONLASYNC
ESS104H1,ES,S,300,0,ONLASYNC
ESS105H1,ES,S,250,0,ONLASYNC
ESS196H1,ES,F,10,0,CLASS
ESS196H1,ES,F,15,0,ONLSYNC
ESS199H1,ES,S,10,0,CLASS
ESS199H1,ES,S,15,0,ONLSYNC
EAS100Y1,EAS,Y,75,4,ONLSYNC
EAS101Y1,EAS,Y,60,16,ONLSYNC
EAS103H1,EAS,F,325,122,ONLASYNC
EAS105H1,EAS,S,33,14,CLASS
EAS105H1,EAS,S,217,97,ONLSYNC
EAS110Y1,EAS,Y,50,15,ONLASYNC
EAS110Y1,EAS,Y,50,15,ONLASYNC
EAS110Y1,EAS,Y,30,10,ONLSYNC
EAS110Y1,EAS,Y,30,10,ONLSYNC
EAS120Y1,EAS,Y,50,15,ONLASYNC
EAS120Y1,EAS,Y,50,15,ONLASYNC
EAS120Y1,EAS,Y,50,15,ONLASYNC
EAS120Y1,EAS,Y,50,15,ONLASYNC
EAS120Y1,EAS,Y,50,15,ONLASYNC
EAS120Y1,EAS,Y,50,15,ONLASYNC
EAS194H1,EAS,S,4,0,CLASS
EAS194H1,EAS,S,21,0,ONLSYNC
EAS195H1,EAS,S,10,0,CLASS
EAS195H1,EAS,S,15,0,ONLSYNC
EAS197H1,EAS,F,16,0,CLASS
EAS197H1,EAS,F,9,0,ONLSYNC
EAS199H1,EAS,F,25,0,ONLSYNC
EAS211Y1,EAS,Y,30,10,ONLSYNC
BIO120H1,EEB,F,1389,221,ONLASYNC
EEB197H1,EEB,S,5,0,CLASS
EEB197H1,EEB,S,13,0,ONLSYNC
EEB198H1,EEB,S,8,0,CLASS
EEB198H1,EEB,S,16,0,ONLSYNC
EEB199H1,EEB,F,24,0,ONLSYNC
EEB199H1,EEB,S,6,0,CLASS
EEB199H1,EEB,S,18,0,ONLSYNC
ECO101H1,ECO,F,500,107,ONLASYNC
ECO101H1,ECO,F,600,571,ONLASYNC
ECO101H1,ECO,F,500,5,ONLASYNC
ECO101H1,ECO,F,600,571,ONLASYNC
ECO101H1,ECO,F,500,0,ONLASYNC
ECO101H1,ECO,F,420,1,ONLASYNC
ECO101H1,ECO,S,400,0,ONLASYNC
ECO101H1,ECO,S,400,0,ONLASYNC
ECO102H1,ECO,S,115,8,CLASS
ECO102H1,ECO,S,115,2,CLASS
ECO102H1,ECO,S,115,6,CLASS
ECO102H1,ECO,S,79,2,CLASS
ECO102H1,ECO,S,771,87,ONLASYNC
ECO102H1,ECO,S,1170,1116,ONLASYNC
ECO105Y1,ECO,Y,500,12,ONLSYNC
ECO105Y1,ECO,Y,425,4,ONLSYNC
IRE199H1,IRE,F,25,0,ONLSYNC
ENG100H1,ENG,F,200,2,ONLSYNC
ENG100H1,ENG,S,200,1,ONLSYNC
ENG102H1,ENG,F,120,1,ONLASYNC
ENG140Y1,ENG,Y,440,22,ONLSYNC
ENG150Y1,ENG,Y,200,1,ONLSYNC
ENG196H1,ENG,F,24,0,ONLSYNC
ENG197H1,ENG,F,24,0,ONLSYNC
ENG198H1,ENG,S,5,0,CLASS
ENG198H1,ENG,S,19,0,ONLSYNC
ENV198H1,ENVMT,S,8,0,CLASS
ENV198H1,ENVMT,S,17,0,ONLSYNC
ENV199H1,ENVMT,S,10,0,CLASS
ENV199H1,ENVMT,S,15,0,ONLSYNC
FSL121Y1,FRE,Y,60,4,ONLSYNC
FSL121Y1,FRE,Y,32,4,CLASS
FSL121Y1,FRE,Y,28,10,ONLSYNC
FCS194H1,FRE,F,23,0,CLASS
FCS194H1,FRE,F,2,0,ONLSYNC
FCS196H1,FRE,S,6,0,CLASS
FCS196H1,FRE,S,19,0,ONLSYNC
FCS197H1,FRE,S,5,0,CLASS
FCS197H1,FRE,S,20,0,ONLSYNC
FRE245H1,FRE,F,20,10,CLASS
FRE245H1,FRE,F,70,13,ONLSYNC
JEG100H1,GGR,S,26,0,CLASS
JEG100H1,GGR,S,124,0,ONLSYNC
GGR101H1,GGR,F,300,4,ONLASYNC
GGR107H1,GGR,F,300,0,ONLSYNC
GGR112H1,GGR,S,30,1,CLASS
GGR112H1,GGR,S,158,3,ONLSYNC
GGR124H1,GGR,F,80,25,ONLASYNC
GGR124H1,GGR,F,120,1,ONLASYNC
GGR124H1,GGR,S,380,7,ONLASYNC
GGR197H1,GGR,F,25,0,ONLSYNC
GGR198H1,GGR,F,9,0,CLASS
GGR198H1,GGR,F,16,0,ONLSYNC
GGR199H1,GGR,S,6,0,CLASS
GGR199H1,GGR,S,19,1,ONLSYNC
GER100Y1,GER,Y,30,0,ONLSYNC
GER100Y1,GER,Y,30,0,ONLSYNC
GER100Y1,GER,Y,30,0,ONLSYNC
GER100Y1,GER,Y,30,1,ONLSYNC
GER100Y1,GER,Y,30,0,ONLSYNC
GER100Y1,GER,Y,30,0,ONLSYNC
GER100Y1,GER,Y,30,0,ONLSYNC
GER100Y1,GER,Y,30,1,ONLSYNC
GER194H1,GER,F,20,0,ONLSYNC
GER195H1,GER,S,10,0,CLASS
GER195H1,GER,S,15,0,ONLSYNC
HIS101Y1,HIS,Y,198,3,ONLSYNC
HIS103Y1,HIS,Y,320,30,ONLSYNC
HIS108Y1,HIS,Y,160,0,ONLASYNC
HIS110Y1,HIS,Y,160,1,ONLASYNC
HIS192H1,HIS,F,10,0,CLASS
HIS192H1,HIS,F,15,0,ONLSYNC
HIS194H1,HIS,F,25,0,ONLSYNC
HIS195H1,HIS,S,9,0,CLASS
HIS195H1,HIS,S,16,0,ONLSYNC
HIS196H1,HIS,S,6,0,CLASS
HIS196H1,HIS,S,19,0,ONLSYNC
INI100H1,INNIS,F,25,0,ONLSYNC
INI101H1,INNIS,S,5,0,CLASS
INI101H1,INNIS,S,20,0,ONLSYNC
INI102H1,INNIS,S,12,0,CLASS
INI102H1,INNIS,S,13,0,ONLSYNC
INI106H1,INNIS,F,12,0,CLASS
INI106H1,INNIS,F,13,0,ONLSYNC
INI196H1,INNIS,S,5,0,CLASS
INI196H1,INNIS,S,20,0,ONLSYNC
ITA197H1,ITA,S,5,0,CLASS
ITA197H1,ITA,S,20,0,ONLSYNC
ITA198H1,ITA,F,13,0,CLASS
ITA198H1,ITA,F,12,0,ONLSYNC
ITA198H1,ITA,S,6,0,CLASS
ITA198H1,ITA,S,19,0,ONLSYNC
ITA199H1,ITA,F,13,0,CLASS
ITA199H1,ITA,F,12,0,ONLSYNC
LIN195H1,LIN,S,10,0,CLASS
LIN195H1,LIN,S,15,0,ONLSYNC
LIN196H1,LIN,F,15,0,CLASS
LIN196H1,LIN,F,10,0,ONLSYNC
LIN198H1,LIN,F,17,0,CLASS
LIN198H1,LIN,F,8,0,ONLSYNC
LIN199H1,LIN,S,8,0,CLASS
LIN199H1,LIN,S,17,0,ONLSYNC
MAT133Y1,MAT,Y,24,21,CLASS
MAT133Y1,MAT,Y,24,22,CLASS
MAT133Y1,MAT,Y,28,28,CLASS
MAT133Y1,MAT,Y,55,52,CLASS
MAT133Y1,MAT,Y,32,29,CLASS
MAT133Y1,MAT,Y,45,35,CLASS
MAT133Y1,MAT,Y,208,176,ONLSYNC
MAT133Y1,MAT,Y,195,102,ONLSYNC
MAT133Y1,MAT,Y,216,194,ONLSYNC
MAT133Y1,MAT,Y,216,123,ONLSYNC
MAT133Y1,MAT,Y,212,123,ONLSYNC
MAT133Y1,MAT,Y,185,162,ONLSYNC
MAT135H1,MAT,F,400,120,ONLSYNC
MAT135H1,MAT,F,400,105,ONLSYNC
MAT135H1,MAT,F,400,0,ONLSYNC
MAT135H1,MAT,F,400,0,ONLSYNC
MAT135H1,MAT,F,400,1,ONLSYNC
MAT135H1,MAT,F,400,1,ONLSYNC
MAT135H1,MAT,F,400,4,ONLSYNC
MAT135H1,MAT,S,24,0,CLASS
MAT135H1,MAT,S,48,0,CLASS
MAT135H1,MAT,S,123,0,CLASS
MAT135H1,MAT,S,202,0,ONLSYNC
MAT135H1,MAT,S,73,0,ONLSYNC
MAT135H1,MAT,S,172,0,ONLSYNC
MAT136H1,MAT,F,195,3,ONLSYNC
MAT136H1,MAT,F,130,4,ONLSYNC
MAT136H1,MAT,S,200,126,ONLSYNC
MAT136H1,MAT,S,210,1,ONLSYNC
MAT136H1,MAT,S,210,0,ONLSYNC
MAT136H1,MAT,S,210,61,ONLSYNC
MAT136H1,MAT,S,210,28,ONLSYNC
MAT136H1,MAT,S,160,0,ONLSYNC
MAT136H1,MAT,S,210,0,ONLSYNC
MAT136H1,MAT,S,210,0,ONLSYNC
MAT136H1,MAT,S,210,0,ONLSYNC
MAT136H1,MAT,S,208,3,ONLSYNC
MAT136H1,MAT,S,210,1,ONLSYNC
MAT136H1,MAT,S,210,3,ONLSYNC
MAT137Y1,MAT,Y,200,58,ONLSYNC
MAT137Y1,MAT,Y,48,2,CLASS
MAT137Y1,MAT,Y,200,49,ONLSYNC
MAT137Y1,MAT,Y,48,3,CLASS
MAT137Y1,MAT,Y,200,1,ONLSYNC
MAT137Y1,MAT,Y,219,0,ONLSYNC
MAT137Y1,MAT,Y,200,0,ONLSYNC
MAT137Y1,MAT,Y,200,6,ONLSYNC
MAT193H1,MAT,S,6,0,CLASS
MAT193H1,MAT,S,0,0,CLASS
MAT193H1,MAT,S,19,0,ONLSYNC
MAT193H1,MAT,S,25,0,ONLSYNC
MAT198H1,MAT,F,12,0,CLASS
MAT198H1,MAT,F,13,0,ONLSYNC
MAT198H1,MAT,S,5,0,CLASS
MAT198H1,MAT,S,20,0,ONLSYNC
MAT223H1,MAT,F,240,165,ONLSYNC
MAT223H1,MAT,F,196,71,ONLSYNC
MAT223H1,MAT,F,196,16,ONLSYNC
MAT223H1,MAT,F,196,30,ONLSYNC
MAT223H1,MAT,F,156,22,ONLSYNC
MAT223H1,MAT,F,196,35,ONLSYNC
MAT223H1,MAT,F,156,25,ONLSYNC
MAT223H1,MAT,F,196,23,ONLSYNC
MAT223H1,MAT,S,18,10,CLASS
MAT223H1,MAT,S,28,2,CLASS
MAT223H1,MAT,S,18,13,CLASS
MAT223H1,MAT,S,0,0,CLASS
